Query ID,Join Path
1,movie
2,actor
3,actor
4,movie
5,actor
6,actor
7,actor
8,actor
9,actor
10,actor;director;producer;writer
11,actor;director;producer;writer
12,actor;director;producer;writer
13,actor;director;producer;writer
14,actor;director;producer;writer
15,actor
16,actor
17,movie
18,actor
19,"directed_by(director,movie)"
20,"directed_by(director,movie)"
21,actor(cast(movie))
22,"classification(genre,movie)"
23,"directed_by(director,movie)"
24,actor(cast(movie))
25,movie(written_by(writer))
26,actor(cast(movie))
27,movie
28,"classification(genre,movie)"
29,actor(cast(movie))
30,actor
31,"directed_by(director,movie)"
32,company(copyright(movie))
33,company(copyright(movie))
34,actor
35,keyword(tags(movie))
36,actor
37,company(copyright(movie))
38,actor(cast(movie))
39,"directed_by(director,movie)"
40,keyword(tags(movie))
41,actor(cast(movie(directed_by(director))))
42,"made_by(producer,tv_series)"
43,actor(cast(tv_series))
44,actor(cast(movie(directed_by(director))))
45,"directed_by(director,movie)"
46,movie(written_by(writer))
47,actor(cast(tv_series))
48,actor(cast(movie))
49,actor(cast(movie(directed_by(director))))
50,actor(cast(movie(made_by(producer))))
51,actor(cast(tv_series))
52,company(copyright(tv_series))
53,company(copyright(tv_series))
54,company(copyright(movie))
55,actor(cast(movie))
56,company(copyright(tv_series(directed_by(director))))
57,"directed_by(director,tv_series)"
58,actor(cast(movie))
59,actor
60,actor
61,actor(cast(movie))
62,actor
63,actor
64,actor(cast(movie))
65,actor(cast(movie))
66,actor(cast(movie))
67,movie
68,keyword(tags(movie))
69,director
70,actor
71,movie(written_by(writer))
72,"classification(genre,movie)"
73,actor(cast(movie))
74,actor(cast(movie))
75,"directed_by(director,movie)"
76,actor(cast(movie))
77,actor(cast(movie(directed_by(director))))
78,"directed_by(director,movie)"
79,actor(cast)
80,"classification(genre,movie(directed_by(director)))"
81,cast(movie)
82,company(copyright(tv_series))
83,cast(movie)
84,company(copyright(movie(directed_by(director))));company(copyright(tv_series(directed_by(director))))
85,keyword(tags(movie))
86,"directed_by(director,movie(tags(keyword)))"
87,actor(cast(movie))
88,actor(cast(movie))
89,"directed_by(director,movie)"
90,movie
91,"directed_by(director,movie)"
92,movie
93,actor(cast(movie))
94,actor
95,actor(cast(movie))
96,actor(cast(movie))
97,actor(cast(movie))
98,keyword(tags(movie))
99,keyword(tags(movie))
100,"directed_by(director,movie)"
101,"directed_by(director,movie)"
102,"directed_by(director,movie)"
103,"directed_by(director,movie)"
104,actor(cast(movie))
105,"directed_by(director,movie)"
106,company(copyright(movie))
107,actor
108,actor(cast(movie))
109,actor(cast(movie))
110,actor(cast(movie(directed_by(director))))
111,company(copyright(movie))
112,actor(cast(movie))
113,actor(cast(movie(cast#1(actor#1))))
114,actor(cast(movie(cast#1(actor#1))))
115,"directed_by(director(directed_by#1(movie#1)),movie)"
116,actor(cast(movie(cast#1(actor#1))))
117,actor(cast(movie(cast#1(actor#1))))
118,actor(cast(movie))
119,actor(cast(movie))
120,actor(cast(movie(directed_by(director))))
121,"classification(genre,movie)"
122,actor(cast(movie))
123,actor(cast(movie(directed_by(director))))
124,"directed_by(director,movie)"
125,actor(cast(movie(cast#1(actor#1))))
126,company(copyright(movie(directed_by(director))))
127,"directed_by(director,movie)"
128,actor(cast(movie))
