Query ID,Phrase,Operator,Fragment Type,Functions,Group By,Answer
1,year,,attr,,,movie.release_year
1,movie Dead Poets Society,,pred,,,movie.title = 'Dead Poets Society'
2,year born,,attr,,,actor.birth_year
2,Ellen Page,,pred,,,actor.name = 'Ellen Page'
3,nationality,,attr,,,actor.nationality
3,actress Ellen Page,,pred,,,actor.name = 'Ellen Page'
4,movies,,attr,,,movie.title
4,2015,=,pred,,,movie.release_year = 2015
5,actors,,attr,,,actor.name
5,Los Angeles,,pred,,,actor.birth_city = 'Los Angeles'
6,actors,,attr,,,actor.name
6,Canada,,pred,,,actor.nationality = 'Canada'
7,actors,,attr,,,actor.name
7,born 1984,=,pred,,,actor.birth_year = 1984
8,year born,,attr,,,actor.birth_year;producer.birth_year
8,Benedict Cumberbatch,,pred,,,actor.name = 'Benedict Cumberbatch';producer.name = 'Benedict Cumberbatch'
9,nationality,,attr,,,actor.nationality
9,actor Christoph Waltz,,pred,,,actor.name = 'Christoph Waltz'
10,born,,attr,,,actor.birth_year;producer.birth_year;director.birth_year;writer.birth_year
10,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey';producer.name = 'Kevin Spacey';director.name = 'Kevin Spacey';writer.name = 'Kevin Spacey'
11,year born,,attr,,,actor.birth_year;producer.birth_year;director.birth_year;writer.birth_year
11,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey';producer.name = 'Kevin Spacey';director.name = 'Kevin Spacey';writer.name = 'Kevin Spacey'
12,birthplace,,attr,,,actor.birth_city;producer.birth_city;director.birth_city;writer.birth_city
12,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey';producer.name = 'Kevin Spacey';director.name = 'Kevin Spacey';writer.name = 'Kevin Spacey'
13,city born,,attr,,,actor.birth_city;producer.birth_city;director.birth_city;writer.birth_city
13,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey';producer.name = 'Kevin Spacey';director.name = 'Kevin Spacey';writer.name = 'Kevin Spacey'
14,nationality,,attr,,,actor.nationality;producer.nationality;director.nationality;writer.nationality
14,Kevin Spacey,,pred,,,actor.name = 'Kevin Spacey';producer.name = 'Kevin Spacey';director.name = 'Kevin Spacey';writer.name = 'Kevin Spacey'
15,actors,,attr,,,actor.name
15,Italy,,pred,,,actor.nationality = 'Italy'
16,actors,,attr,,,actor.name
16,Milan,,pred,,,actor.birth_city = 'Milan'
17,budget,,attr,,,movie.budget
17,Finding Nemo,,pred,,,movie.title = 'Finding Nemo'
18,actors,,attr,,,actor.name
18,Tehran,,pred,,,actor.birth_city = 'Tehran'
19,movies,,attr,,,movie.title
19,directed by,,rel,,,directed_by;director
19,Steven Spielberg,,pred,,,director.name = 'Steven Spielberg'
19,after 2006,>,pred,,,movie.release_year > 2006
20,director,,attr,,,director.name
20,movie Catch Me If You Can,,pred,,,movie.title = 'Catch Me If You Can'
21,actor,,attr,,,actor.name
21,played,,rel,,,actor;cast
21,Captain Miller,,pred,,,cast.role = 'Captain Miller'
21,movie Saving Private Ryan,,pred,,,movie.title = 'Saving Private Ryan'
22,genre,,attr,,,genre.genre
22,movie Jurassic Park,,pred,,,movie.title = 'Jurassic Park'
23,director,,attr,,,director.name
23,movie Joy,,pred,,,movie.title = 'Joy'
23,2015,=,pred,,,movie.release_year = 2015
24,acted,,attr,,,actor.name
24,John Nash,,pred,,,cast.role = 'John Nash'
24,movie A Beautiful Mind,,pred,,,movie.title = 'A Beautiful Mind'
25,movies,,attr,,,movie.title
25,written by,,rel,,,written_by;writer
25,Matt Damon,,pred,,,writer.name = 'Matt Damon'
26,movies,,attr,,,movie.title
26,Kate Winslet,,pred,,,actor.name = 'Kate Winslet'
27,budget,,attr,,,movie.budget
27,movie Juno,,pred,,,movie.title = 'Juno'
27,2007,=,pred,,,movie.release_year = 2007
28,comedies,,attr+pred,,,"genre.genre = 'Comedy',movie.title"
28,year 2015,=,pred,,,movie.release_year = 2015
29,actor,,attr,,,actor.name
29,played,,rel,,,actor;cast
29,Vinny Gambini,,pred,,,cast.role = 'Vinny Gambini'
29,movie My Cousin Vinny,,pred,,,movie.title = 'My Cousin Vinny'
30,actors,,attr,,,actor.name
30,Los Angeles,,pred,,,actor.birth_city = 'Los Angeles'
30,after 1980,>,pred,,,actor.birth_year > 1980
31,movies,,attr,,,movie.title
31,directors,,rel,,,directed_by;director
31,Los Angeles,,pred,,,director.birth_city = 'Los Angeles'
32,company,,attr,,,company.name
32,movie Juno,,pred,,,movie.title = 'Juno'
33,movies,,attr,,,movie.title
33,Netflix,,pred,,,company.name = 'Netflix'
34,actors,,attr,,,actor.name
34,New York City,,pred,,,actor.birth_city = 'New York City'
34,1984,=,pred,,,actor.birth_year = 1984
35,movies,,attr,,,movie.title
35,Persians,,pred,,,keyword.keyword = 'persian'
36,actors,,attr,,,actor.name
36,New York City,,pred,,,actor.birth_city = 'New York City'
36,after 1990,>,pred,,,actor.birth_year > 1990
37,movies,,attr,,,movie.title
37,Walt Disney,,pred,,,company.name = 'Walt Disney'
37,after 2010,>,pred,,,movie.release_year > 2010
38,movies,,attr,,,movie.title
38,Benedict Cumberbatch,,pred,,,actor.name = 'Benedict Cumberbatch'
39,movies,,attr,,,movie.title
39,Alfred Hitchcock,,pred,,,director.name = 'Alfred Hitchcock'
39,direct,,rel,,,directed_by;director
40,movies,,attr,,,movie.title
40,Autism,,pred,,,keyword.keyword = 'autism'
41,movies,,attr,,,movie.title
41,directed by,,rel,,,directed_by;director
41,Woody Allen,,pred,,,director.name = 'Woody Allen'
41,Scarlett Johansson,,pred,,,actor.name = 'Scarlett Johansson'
42,tv series,,attr,,,tv_series.title
42,created by,,rel,,,made_by
42,Shonda Rhimes,,pred,,,producer.name = 'Shonda Rhimes'
43,acts,,attr,,,actor.name
43,Olivia Pope,,pred,,,cast.role = 'Olivia Pope'
43,series Scandal,,pred,,,tv_series.title = 'Scandal'
44,movies,,attr,,,movie.title
44,directed by,,rel,,,directed_by;director
44,Quentin Tarantino,,pred,,,director.name = 'Quentin Tarantino'
44,Christoph Waltz,,pred,,,actor.name = 'Christoph Waltz'
45,directed,,attr,,,director.name
45,movie Inglourious Basterds,,pred,,,movie.title = 'Inglourious Basterds'
46,writer,,attr,,,writer.name
46,movie Django Unchained,,pred,,,movie.title = 'Django Unchained'
47,series,,attr,,,tv_series.title
47,Kerry Washington,,pred,,,actor.name = 'Kerry Washington'
48,movies,,attr,,,movie.title
48,Kerry Washington,,pred,,,actor.name = 'Kerry Washington'
49,directors,,attr,,,director.name
49,movies,,rel,,,movie
49,Kate Winslet,,pred,,,actor.name = 'Kate Winslet'
50,producers,,attr,,,producer.name
50,movies,,rel,,,movie
50,Kate Winslet,,pred,,,actor.name = 'Kate Winslet'
50,actor,,rel,,,actor
51,series,,attr,,,tv_series.title
51,Scott Foley,,pred,,,actor.name = 'Scott Foley'
51,actor,,rel,,,actor
52,company,,attr,,,company.name
