Query ID,Join Path
1,journal
2,author
3,publication
4,publication
5,publication
6,conference
7,keyword
8,organization
9,organization
10,organization
11,publication
12,publication
13,publication
14,publication
15,author(writes(publication(journal)))
16,author(writes(publication(journal)))
17,author(writes(publication(conference)))
18,author(writes(publication(conference)))
19,author(writes(publication(conference)))
20,author(writes(publication(conference)))
21,domain(domain_journal(journal))
22,author(writes(publication(journal)))
23,author(organization)
24,author(writes(publication(conference)))
25,author(writes(publication(journal)))
26,author(domain_author(domain))
27,author(writes(publication))
28,conference(publication)
29,publication
30,publication
31,author(writes(publication))
32,conference(publication)
33,journal(publication)
34,journal(publication)
35,conference(publication)
36,author(writes(publication(journal)))
37,author(writes(publication(conference)))
38,author(writes(publication))
39,author(writes(publication(journal)))
40,author(writes(publication(conference)))
41,conference(domain_conference(domain))
42,author(writes(publication(conference)))
43,domain(domain_keyword(keyword))
44,keyword(publication_keyword(publication))
45,keyword(publication_keyword(publication))
46,author(writes(publication(publication_keyword(keyword))))
47,conference(publication(publication_keyword(keyword)))
48,journal(publication(publication_keyword(keyword)))
49,"author(organization,writes(publication(publication_keyword(keyword))))"
50,"author(organization,writes(publication(publication_keyword(keyword))))"
51,journal(publication(publication_keyword(keyword)))
52,conference(publication(publication_keyword(keyword)))
53,author(writes(publication(publication_keyword(keyword))))
54,"author(domain_author(domain),organization)"
55,"author(domain_author(domain),organization)"
56,author(organization)
57,"author(domain_author(domain),organization)"
58,"author(organization,writes(publication))"
59,"author(organization,writes(publication))"
60,"author(organization,writes(publication(conference)))"
61,"author(organization,writes(publication(journal)))"
62,"author(organization,writes(publication(journal)))"
63,"author(organization,writes(publication(journal)))"
64,domain(domain_publication(publication))
65,journal(publication)
66,conference(publication)
67,author(writes(publication))
68,author(writes(publication(journal)))
69,author(writes(publication(conference)))
70,publication
71,domain(domain_publication(publication))
72,journal(publication)
73,conference(publication)
74,author(writes(publication(conference)))
75,author(writes(publication(journal)))
76,author(writes(publication))
77,author(writes(publication))
78,publication
79,author(writes(publication))
80,conference(publication)
81,journal(publication)
82,publication
83,journal(publication)
84,conference(publication)
85,author(writes(publication(journal)))
86,author(writes(publication(conference)))
87,author(writes(publication))
88,author(writes(publication(journal)))
89,author(writes(publication(conference)))
90,keyword
91,domain(domain_keyword(keyword))
92,keyword(publication_keyword(publication))
93,keyword(publication_keyword(publication))
94,author(writes(publication(publication_keyword(keyword))));author(domain_author(domain(domain_keyword(keyword))))
95,conference(publication(publication_keyword(keyword)))
96,journal(publication(publication_keyword(keyword)))
97,"author(organization,writes(publication(publication_keyword(keyword))))"
98,author(writes(publication(publication_keyword(keyword))))
99,journal(publication(publication_keyword(keyword)))
100,conference(publication(publication_keyword(keyword)))
101,author(writes(publication(publication_keyword(keyword))))
102,keyword(publication_keyword(publication))
103,organization
104,organization
105,"author(domain_author(domain),organization)"
106,"author(domain_author(domain),organization)"
107,"author(organization,writes(publication))"
108,"author(domain_author(domain(domain_publication(publication))),organization)"
109,"author(organization,writes(publication))"
110,"author(organization,writes(publication(conference)))"
111,"author(organization,writes(publication(journal)))"
112,"author(organization,writes(publication(journal)))"
113,"author(organization,writes(publication(journal)))"
114,"author(organization,writes(publication))"
115,author(organization)
116,"author(domain_author(domain),organization)"
117,author(writes(publication(journal)))
118,author(writes(publication(conference)))
119,journal(publication)
120,conference(publication)
121,journal(publication)
122,journal(publication)
123,journal(publication)
124,journal(publication)
125,journal(publication)
126,journal(publication)
127,conference(publication)
128,conference(publication)
129,conference(publication)
130,conference(publication)
131,conference(publication)
132,conference(publication)
133,"author(writes(publication(writes#1(author#1),writes#2(author#2))))"
134,author(organization(author#1))
135,author(writes(publication(writes#1(author#1))))
136,author(writes(publication(writes#1(author#1))))
137,author(writes(publication(writes#1(author#1))))
138,"author(writes(publication(journal,writes#1(author#1))))"
139,"author(writes(publication(journal,writes#1(author#1))))"
140,author(writes(publication(writes#1(author#1))))
141,author(writes(publication(writes#1(author#1))))
142,author(writes(publication(cite(publication#1(writes#1(author#1))))))
143,author(writes(publication(writes#1(author#1))))
144,author(writes(publication(writes#1(author#1))))
145,"author(writes(publication(writes#1(author#1),writes#2(author#2))))"
146,author(writes(publication(writes#1(author#1))))
147,author(writes(publication(cite(publication#1(writes#1(author#1))))))
148,author(writes(publication(writes#1(author#1))))
149,author(writes(publication(publication_keyword(keyword))))
150,conference(publication(publication_keyword(keyword)))
151,journal(publication(publication_keyword(keyword)))
152,author(writes(publication(publication_keyword(keyword))))
153,conference(publication(publication_keyword(keyword)))
154,journal(publication(publication_keyword(keyword)))
155,author(writes(publication(publication_keyword(keyword))))
156,conference(publication(publication_keyword(keyword)))
157,journal(publication(publication_keyword(keyword)))
158,conference(publication(publication_keyword(keyword)))
159,journal(publication(publication_keyword(keyword)))
160,author(writes(publication(publication_keyword(keyword))))
161,conference(publication(publication_keyword(keyword)))
162,journal(publication(publication_keyword(keyword)))
163,author(writes(publication(publication_keyword(keyword))))
164,journal(publication(publication_keyword(keyword)))
165,conference(publication(publication_keyword(keyword)))
166,author(writes(publication(publication_keyword(keyword))))
167,"author(organization,writes(publication))"
168,"author(organization,writes(publication(domain_publication(domain))))"
169,author(writes(publication(writes#1(author#1))))
170,author(writes(publication(conference)))
171,author(writes(publication(conference)))
172,author(writes(publication(journal)))
173,author(writes(publication(journal)))
174,publication
175,domain(domain_publication(publication))
176,journal(publication)
177,conference(publication)
178,author(writes(publication))
179,publication
180,domain(domain_publication(publication))
181,journal(publication)
182,conference(publication)
183,author(writes(publication(journal)))
184,author(writes(publication(journal)))
185,author(writes(publication(publication_keyword(keyword))))
186,conference(publication(publication_keyword(keyword)))
187,journal(publication(publication_keyword(keyword)))
188,conference(publication(publication_keyword(keyword)))
189,journal(publication(publication_keyword(keyword)))
190,author(writes(publication(publication_keyword(keyword))))
191,author(writes(publication(conference)))
192,author(writes(publication(conference)))
193,"author(organization,writes(publication))"
194,"author(domain_author(domain),organization,writes(publication))"
