Query ID,Join Path
1,business
2,business
3,user
4,business
5,business(category)
6,business
7,business
8,review
9,business(category)
10,business(category)
11,review(user)
12,business(review(user))
13,business(review(user))
14,"business(category,category#1,review(user))"
15,"business(category,review)"
16,"business(category,category#1)"
17,"business(category,category#1,neighborhood)"
18,"business(category,category#1,neighborhood)"
19,business(category)
20,"business(category,review);business(review)"
21,"business(category,review);business"
22,business(category)
23,business(category)
24,business(category)
25,"business(category,review);business(category)"
26,"business(category,review);business(category)"
27,"business(category,review(user))"
28,business
29,"business(category,review(user))"
30,"business(category,review(user))"
31,"business(category,review(user))"
32,"business(category,review);business(category)"
33,"business(category,review(user))"
34,business(tip(user))
35,business
36,business(category)
37,review(user)
38,business(category)
39,business(category)
40,business
41,business(category)
42,business(category)
43,"business(category,neighborhood)"
44,business(tip)
45,business(review)
46,business(tip(user))
47,business(category)
48,"business(category,tip(user));business(tip(user))"
49,"business(category,review)"
50,"business(neighborhood,review(user))"
51,business(tip)
52,business(category)
53,"business(category,review(user))"
54,business(tip)
55,"business(category,review(user))"
56,review(user(tip))
57,business(review)
58,business(category)
59,business(category)
60,"business(category,category#1,checkin)"
61,"business(category,category#1,checkin)"
62,"business(category,category#1,checkin)"
63,"business(category,category#1,checkin)"
64,review(user)
65,review(user)
66,business(checkin)
67,business(review(user))
68,business(category)
69,business(category)
70,business(category)
71,tip
72,tip(user)
73,business(tip)
74,business(tip(user))
75,tip(user)
76,tip(user)
77,business(category)
78,business(category)
79,business(category)
80,"business(category,review(user))"
81,business(review(user))
82,"business(category,neighborhood)"
83,business
84,business;business(review)
85,business(checkin)
86,business(neighborhood)
87,business(category)
88,business(review(user))
89,review(user)
90,review(user)
91,business(review(user))
92,business(review(user))
93,business
94,"business(category,review(user))"
95,review
96,"business(category,review(user))"
97,"business(neighborhood,review)"
98,business(category)
99,business(category)
100,business
101,tip(user)
102,tip(user)
103,"business(checkin,neighborhood)"
104,checkin
105,review
106,tip
107,business(neighborhood)
108,"business(category,category#1)"
109,"business(category,category#1)"
110,"business(category,category#1,review)"
111,business(checkin)
112,review(user)
113,business(neighborhood)
114,"business(category,category#1,neighborhood)"
115,"business(category,category#1)"
116,"business(category,category#1)"
117,"business(category,category#1)"
118,"business(category,category#1,neighborhood)"
119,"business(category,review)"
120,"business(category,category#1)"
121,"business(category,category#1)"
122,"business(category,category#1)"
123,"business(category,category#1)"
124,"business(category,category#1)"
125,review(user)
126,business(review)
127,business(category)
