Query ID,Phrase,Operator,Fragment Type,Functions,Group By,Answer
1,businesses,,attr,,,business.name
1,4.5 stars,>,pred,,,business.rating > 4.5
2,businesses,,attr,,,business.name
2,rating 3.5,=,pred,,,business.rating = 3.5
3,user ids,,attr,,,user.user_id
3,name Michelle,,pred,,,user.name = 'Michelle'
4,states,,attr,,,business.state
4,Whataburger,,pred,,,business.name = 'Whataburger'
5,cities,,attr,,,business.city
5,restaurant,,pred,,,category.category_name = 'Restaurants'
5,MGM Grand Buffet,,pred,,,business.name = 'MGM Grand Buffet'
6,cities,,attr,,,business.city
6,businesses,,rel,,,business
6,rated 1.5,<,pred,,,business.rating < 1.5
7,cities,,attr,,,business.city
7,Taj Mahal,,pred,,,business.name = 'Taj Mahal'
8,reviews,,attr,,,review.text
8,rated 1,<,pred,,,review.rating < 1
9,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
9,rated 3.5,>,pred,,,business.rating > 3.5
10,cities,,attr,,,business.city
10,Taj Mahal,,pred,,,business.name = 'Taj Mahal'
10,restaurant,,pred,,,category.category_name = 'Restaurants'
11,reviews,,attr,,,review.text
11,Niloofar,,pred,,,user.name = 'Niloofar'
12,businesses,,attr,,,business.name
12,review,,rel,,,review
12,Niloofar,,pred,,,user.name = 'Niloofar'
13,businesses,,attr,,,business.name
13,Niloofar,,pred,,,user.name = 'Niloofar'
13,rated 5,,pred,,,review.rating = 5
14,reviews,,attr,,,review.text
14,Michelle,,pred,,,user.name = 'Michelle'
14,Italian,,pred,,,category.category_name = 'Italian'
14,restaurants,,pred,,,category.category_name = 'Restaurants'
15,reviews,,attr,count,,count(review.text)
15,Cafe Zinho,,pred,,,business.name = 'Cafe Zinho'
15,restaurants,,pred,,,category.category_name = 'Restaurants'
15,Texas,,pred,,,business.state = 'Texas'
16,5 star,,pred,,,business.rating = 5
16,Italian,,pred,,,category.category_name = 'Italian'
16,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
17,neighborhoods,,attr,,,neighborhood.neighborhood_name
17,Italian,,pred,,,category.category_name = 'Italian'
17,restaurants,,pred,,,category.category_name = 'Restaurants'
17,Madison,,pred,,,business.city = 'Madison'
18,neighborhoods,,attr,,,neighborhood.neighborhood_name
18,Italian,,pred,,,category.category_name = 'Italian'
18,restaurants,,pred,,,category.category_name = 'Restaurants'
18,rated 2.5,<,pred,,,business.rating < 2.5
18,Madison,,pred,,,business.city = 'Madison'
19,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
19,Texas,,pred,,,business.state = 'Texas'
20,reviews,,attr,,,review.text
20,pet groomers,,pred,,,category.category_name = 'Pet Groomers';business.name = 'Pet Groomers'
20,100 reviews,>,pred,,,business.review_count > 100
21,pet groomers,>,attr+pred,,,"category.category_name = 'Pet Groomers',business.name;business.name = 'Pet Groomers',business.name"
21,100 reviews,>,pred,,,business.review_count > 100
22,gyms,,attr+pred,,,"category.category_name = 'Gyms',business.name"
22,Los Angeles,,pred,,,business.city = 'Los Angeles'
23,bars,,attr+pred,,,"category.category_name = 'Bars',business.name"
23,Dallas,,pred,,,business.city = 'Dallas'
24,dance schools,,attr+pred,,,"category.category_name = 'Dance Schools',business.name"
24,Los Angeles,,pred,,,business.city = 'Los Angeles'
25,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
25,Los Angeles,,pred,,,business.city = 'Los Angeles'
25,100 reviews,>,pred,,,business.review_count > 100
26,hotels,,attr+pred,,,"category.category_name = 'Hotels',business.name"
26,Dallas,,pred,,,business.city = 'Dallas'
26,50 reviews,>=,pred,,,business.review_count >= 50
27,users,,attr,,,user.name
27,reviewed,,rel,,,review
27,restaurant,,pred,,,category.category_name = 'Restaurants'
27,Mesa Grill,,pred,,,business.name = 'Mesa Grill'
28,addresses,,attr,,,business.full_address
28,Walmarts,,pred,,,business.name = 'Walmart'
28,Los Angeles,,pred,,,business.city = 'Los Angeles'
29,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
29,reviewed,,rel,,,review
29,Patrick,,pred,,,user.name = 'Patrick'
29,Los Angeles,,pred,,,business.city = 'Los Angeles'
30,bars,,attr+pred,,,"category.category_name = 'Bars',business.name"
30,reviewed,,rel,,,review
30,Patrick,,pred,,,user.name = 'Patrick'
31,bars,,attr+pred,,,"category.category_name = 'Bars',business.name"
31,reviewed,,rel,,,review
31,Patrick,,pred,,,user.name = 'Patrick'
31,3 stars,>=,pred,,,business.rating >= 3
32,bars,,attr+pred,,,"category.category_name = 'Bars',business.name"
32,Los Angeles,,pred,,,business.city = 'Los Angeles'
32,30 reviews,>=,pred,,,business.review_count >= 30
33,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
33,Dallas,,pred,,,business.city = 'Dallas'
33,reviewed,,rel,,,review
33,user Patrick,,pred,,,user.name = 'Patrick'
34,users,,attr,,,user.name
34,tips,,rel,,,tip
34,Barrio Café,,pred,,,business.name = 'Barrio Café'
34,2015,=,pred,,,tip.year = 2015
35,businesses,,attr,,,business.name
35,Texas,,pred,,,business.state = 'Texas'
35,rating 2,<,pred,,,business.rating < 2
36,pet hospices,,attr+pred,,,"category.category_name = 'Pet Hospice',business.name"
36,Pittsburgh,,pred,,,business.city = 'Pittsburgh'
37,reviews,,attr,,,review.text
37,Patrick,,pred,,,user.name = 'Patrick'
37,rating 4,>,pred,,,review.rating > 4
38,bistros,,attr+pred,,,"category.category_name = 'Bistros',business.name"
38,Pittsburgh,,pred,,,business.city = 'Pittsburgh'
39,bakeries,,attr+pred,,,"category.category_name = 'Bakeries',business.name"
39,Los Angeles,,pred,,,business.city = 'Los Angeles'
40,Apple Stores,,attr+pred,,,"business.name = 'Apple Store',business.name"
40,Los Angeles,,pred,,,business.city = 'Los Angeles'
41,Dallas,,pred,,,business.city = 'Dallas'
41,restaurants,,attr+pred,,,"category.category_name = 'Restaurants',business.name"
41,rating 4.5,>,pred,,,business.rating > 4.5
42,breweries,,attr+pred,,,"category.category_name = 'Breweries',business.name"
